ChEMBL ID,AlogP,PSA,HBA,HBD,Smiles,MW,pIC50
CHEMBL3884248,-0.21,93.66,7,1,Cc1ncc([N+](=O)[O-])n1CC(O)CN1CCOCC1,379.8780000000001,2.3010299956639813
CHEMBL339133,2.34,89.71,6,2,Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1,494.60300000000035,8.045757490560675
CHEMBL256470,4.11,78.43,7,1,Cc1csc2c(N[C@@H](C)CN3CCN(S(=O)(=O)c4ccc(Cl)c(Cl)c4)CC3)ncnc12,599.6690000000003,7.769551078621726
CHEMBL16596,9.01,64.35,5,1,CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12,344.3190000000001,8.522878745280337
CHEMBL150315,4.18,56.27,5,1,COc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,317.391,5.698970004336019
CHEMBL8759,-0.49,100.62,3,3,N[C@@]1(C(=O)O)CC[C@H]2[C@H](C(=O)O)[C@H]21,433.50100000000015,4.0
CHEMBL144399,1.64,46.01,3,1,Cc1nccc2nc(O)ccc12,248.71300000000002,6.259637310505756
CHEMBL31344,3.19,90.39,2,3,O=C(O)CCc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12,433.90300000000025,7.161150909262744
CHEMBL1476337,1.12,42.96,5,1,COc1ccc(CN2CCNCC2)c(OC)c1OC.Cl,291.26700000000005,5.083019952679618
CHEMBL284782,3.06,78.79,4,3,C[C@H](Cc1ccc(OCC(=O)O)cc1)NC[C@H](O)c1cccc(Cl)c1,295.304,6.721246399047171
CHEMBL299879,4.07,101.34,5,2,O=[N+]([O-])c1ccccc1S(=O)(=O)NC[C@H]1CC[C@H](CNCC2CCc3ccccc3C2)CC1,1032.1349999999993,4.886056647693163
CHEMBL67391,1.50,26.02,1,1,Cl.N[C@H]1C[C@@H]1c1ccccc1,178.212,6.045757490560675
CHEMBL188528,3.67,66.49,4,2,Oc1ccc(-c2nc3cc(O)cc(Br)c3o2)cc1,323.39300000000003,8.698970004336019
CHEMBL427526,3.07,37.30,1,1,CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1,491.49500000000023,6.958607314841775
CHEMBL3098745,3.36,79.29,3,2,Cc1cccc(NC(=O)c2ccc(C(F)(F)F)cc2C(=O)O)n1,432.8680000000001,6.481486060122113
CHEMBL75474,5.81,38.05,3,1,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43C)C1CC=C2n1cnc2ccccc21,482.0050000000004,6.522878745280337
CHEMBL2036730,5.09,117.35,6,3,O=C(O)C[C@H]1CC[C@H](c2ccc(NC(=O)c3nnc(Nc4ccc(F)c(F)c4)o3)cc2)CC1,322.368,9.522878745280337
CHEMBL1956071,0.26,141.98,9,2,CCn1c(-c2nonc2N)nc2cncc(C(=O)N3CC[C@H](N)C3)c21,612.7500000000003,8.2518119729938
CHEMBL247920,6.90,64.35,4,1,CCc1c(-c2ccccc2)c(-c2ccccc2)nn1-c1ccccc1-c1cccc(OCC(=O)O)c1,568.6780000000002,6.655607726314889
CHEMBL426161,4.76,68.74,7,1,COc1ccc(Cl)c(Nc2ncnc3cc(OCC4CCN(C)CC4)c(OC)cc23)c1,434.3430000000001,8.0
CHEMBL226630,1.90,131.34,6,3,NC(=O)c1noc([C@H](CCCC2CCCCC2)CC(=O)NO)n1,539.6810000000004,7.356547323513812
CHEMBL3753077,4.02,89.80,5,2,COc1ccc(C2(CNC(=O)c3ccc(NC(=O)c4ccco4)cc3)CCOCC2)cc1,364.4060000000001,5.7447274948966935
CHEMBL3617053,4.71,88.16,5,2,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)C(c1ccccc1)c1ccccc1,346.652,5.0
CHEMBL63064,5.19,48.00,4,0,COc1ccc(OC)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,285.26899999999995,8.790484985457368
CHEMBL71921,4.61,71.44,3,1,CC1=C(C)C(=O)C([C@@H](CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,448.61500000000035,4.886056647693163
CHEMBL3410223,4.84,39.94,4,0,Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1-c1ccc(OC(F)(F)F)cc1,330.4340000000001,8.0
CHEMBL3338865,3.92,99.12,8,1,COc1ccc(CNC(=O)c2cc(-c3cncc(C)c3)ncc2-c2nccs2)nc1OC,445.5490000000003,7.795880017344075
CHEMBL558805,4.42,12.47,2,0,CN1[C@@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,401.797,5.09312646527793
CHEMBL2441340,3.19,89.93,6,1,Cc1cccc(CC(=O)N2CCc3c2ccc(-c2cn(C)c4ncnc(N)c24)c3F)n1,602.7120000000004,5.470056598341331
CHEMBL558642,6.25,65.98,2,2,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1,461.03100000000035,7.886056647693163
CHEMBL597997,6.09,66.40,3,2,Cc1sc(C)c(C(=O)NC2(c3ccc(C(=O)O)cc3)CC2)c1Cc1ccc(C(F)(F)F)cc1,265.22099999999995,8.602059991327963
CHEMBL571948,2.83,83.80,3,3,C[C@@H](N)c1ccc(C(=O)Nc2ccnc3[nH]ccc23)cc1,593.6720000000001,7.522878745280337
CHEMBL2204495,5.11,64.11,4,1,O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1,268.22900000000004,7.212539525481585
CHEMBL1233584,0.44,63.32,2,2,CC[C@H](C)[C@H](N)C(=O)O,363.41800000000023,3.853871964321762
CHEMBL594828,2.88,74.53,8,0,COCc1nnc(N2CC(Oc3ccc(F)cc3Cl)C2)n1-c1ccc(OC)nc1,263.3809999999999,6.221848749616356
CHEMBL1704,2.95,104.73,5,3,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O.Cl,483.4800000000003,7.823908740944319
CHEMBL1236095,5.82,126.30,9,3,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC(F)(F)F)nc1-2,318.4570000000001,5.0
CHEMBL1230714,3.73,86.83,6,2,COc1cc(-c2cc(-c3cccc(O)c3)cnc2N)cc(OC)c1OC,432.4670000000002,7.455931955649724
CHEMBL1766779,2.38,115.04,6,2,CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,264.32399999999996,7.585026652029182
CHEMBL310871,4.41,100.65,7,1,CCC[C@@H](NC(=O)N1C(=O)C(CC)(CC)[C@@H]1Oc1ccc(C(=O)N2CCN(C)CC2)cc1)c1ccc2c(c1)OCO2,307.37500000000006,7.638272163982407
CHEMBL128672,3.01,54.98,3,1,O=C(O)/C=C\C(=O)O.O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,451.29100000000017,4.300000029139088
CHEMBL3752060,3.78,38.05,3,1,O[C@@H](C[C@H]1c2ccccc2-c2cncn21)C1CCCCC1,277.349,6.0
CHEMBL1214186,-2.06,208.65,11,6,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,408.45800000000025,6.0
CHEMBL337301,2.13,95.60,5,1,COc1ccnc2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)C[C@H]3C)c12,327.43200000000013,8.096910013008056
CHEMBL2206278,6.68,121.62,7,3,CCN1C(C)(C)CC(Oc2ccc(C(=O)Nc3ccc(NC(=O)Nc4cc(C(C)(C)C)on4)cc3)nc2)CC1(C)C,425.3120000000003,4.3979400086720375
CHEMBL3604460,5.07,98.54,6,1,CC1=C(C(=O)OC2CCCCC2)C(c2ccc([N+](=O)[O-])cc2)C2=C(CC(C)(C)CC2=O)N1,353.4010000000002,4.1487416512809245
CHEMBL2093950,-1.38,126.65,8,4,Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,279.1,4.0
CHEMBL237830,3.70,49.84,4,2,c1ccc(NCc2ccc(CNc3ccccn3)cc2)nc1,277.496,8.744727494896694
CHEMBL1230020,3.88,91.92,4,2,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,464.9090000000003,7.886056647693163
CHEMBL2069623,2.99,88.08,7,1,Nc1ncnc2c1c(COc1cccc(Cl)c1)nn2C1CCOCC1,272.25600000000003,6.148130399270234
CHEMBL463165,3.31,39.34,2,1,CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)[C@H]21,324.25100000000003,5.585026652029182
CHEMBL3407862,6.49,82.91,6,1,Cc1ccc2cc(-c3c(C)ccc(C(=O)c4c(-c5ccccc5)n(C)n(-c5ccccc5)c4=O)c3N)ccc2n1,371.4440000000002,8.221848749616356
CHEMBL4166417,6.99,169.26,5,5,C=Cc1c(C)c2cc3nc(c(CC(=O)O)c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)O)C(CCC(=O)O)C3C,565.7110000000002,4.709297756712146
CHEMBL4303782,2.78,108.07,8,2,COc1cc2c(c(OC)n1)[C@]1(O)[C@H](O)[C@H](CN(C)C)[C@@H](c3ccccc3)[C@]1(c1ccc(C#N)cc1)O2,361.57,6.7509974250902385
CHEMBL4297454,5.06,96.35,5,3,CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(=O)c2[nH]1,485.6280000000005,2.4600000005668043
CHEMBL2177161,1.31,134.41,8,2,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)cc2)CC1,316.357,7.119186407719209
CHEMBL1921985,2.04,67.15,4,2,CNC(=O)c1ccc2cc([C@]3(O)CCn4cncc43)ccc2c1,503.64700000000033,6.7447274948966935
CHEMBL400402,5.58,83.40,7,2,Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,422.5620000000002,8.744727494896694
CHEMBL3697701,3.47,32.59,2,1,CCC(=N\O)/C(C)=C/c1ccc(F)cc1,337.4020000000002,7.130768280269024
CHEMBL2311578,5.65,86.97,8,0,Cc1cc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)ccc1-c1ccc(S(C)(=O)=O)cc1,526.6850000000003,6.42021640338319
CHEMBL3260990,3.80,91.28,6,1,CC(C)(C)c1cc(C(=O)/C(C#N)=N/Nc2cccc(Cl)c2)no1,279.295,5.154901959985743
CHEMBL426560,1.41,99.52,4,3,O=C(O)CNC(=O)c1nc(Cl)c2ccccc2c1O,351.4560000000001,5.853871964321762
CHEMBL3774960,4.24,28.40,3,1,CN(C)C[C@@H](O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21,333.3910000000001,5.46344155742847
CHEMBL1909324,5.29,36.92,4,0,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,276.679,5.756961951313706
CHEMBL2204239,5.03,74.85,4,2,CC(C)c1ccc(NC(=O)c2cccs2)c(-c2nc3ccccc3[nH]c2=O)c1,265.31300000000005,5.0
CHEMBL2171124,4.37,77.04,5,1,Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21,267.357,9.397940008672037
CHEMBL2203422,3.47,76.17,5,2,CS(=O)(=O)O.N=C(N)c1cc2ccc(OC(=O)c3cccs3)cc2s1,365.34400000000005,8.0
CHEMBL525191,2.73,83.53,6,2,OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,665.6760000000003,9.886056647693163
CHEMBL6367,2.55,76.57,5,0,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1,228.12199999999999,4.68000002720016
CHEMBL3752151,2.53,101.19,6,1,COc1cc(C#N)ccc1S(=O)(=O)Nc1ccc2c(c1)cc(C)c(=O)n2C,415.7990000000001,7.154901959985743
CHEMBL219410,6.05,218.80,16,2,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](n3cnnn3)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,500.3610000000001,8.481486060122112
CHEMBL2070953,4.31,88.60,6,1,COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccc(C)cc3)n2)cc1,517.6110000000002,4.522878745280337
CHEMBL506678,5.85,99.38,6,4,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,308.636,4.498666821354433
CHEMBL360648,4.27,88.98,7,2,Cc1cc(C(=O)N2Cc3cnn(C)c3Nc3ccccc32)ccc1CNC(=O)N1CCC[C@H]1C(=S)N1CCCN(C)CC1,409.96100000000007,8.096910013008056
CHEMBL448502,4.75,0.00,0,0,C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C,308.298,3.626720106722504
CHEMBL1082462,0.83,76.44,4,1,CC(C)(CC(=O)N1CCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,479.9640000000003,4.301029995663981
CHEMBL3589010,4.73,55.20,5,0,Cc1cc(/C=C2\SC(=O)N(c3ccccc3)C2=O)c(C)n1-c1cccnc1,233.31099999999998,7.394694953858891
CHEMBL3417243,-0.98,110.60,7,3,Nc1ccn([C@@H]2O[C@@](CO)(CCl)[C@@H](O)[C@H]2F)c(=O)n1,308.83799999999997,6.0
CHEMBL3901539,5.00,99.17,8,2,CS(=O)(=O)O.Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,376.2100000000001,5.0
CHEMBL3350262,6.34,63.60,3,1,CCCC[C@@]1(C2CCCC2)Cc2cc(OCCCC(=O)O)c(Cl)c(Cl)c2C1=O,365.36300000000006,6.6020599913279625
CHEMBL3648328,2.91,107.85,7,2,C[C@@H]1COCCN1c1cc(C2([S@@](C)(=N)=O)CC2)nc(-c2ccnc3[nH]ccc23)n1,266.728,6.628009088535085
CHEMBL3092536,2.73,74.85,3,2,C[C@@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccccc1,292.38200000000006,6.0
CHEMBL3353597,5.75,96.80,5,1,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2ncc(C(F)(F)F)cc2Cl)cc1,281.315,8.080921907623926
CHEMBL327783,1.58,68.12,5,1,CCOC(=O)C12CC1/C(=N\O)c1ccccc1O2,357.7930000000001,5.468521082957745
CHEMBL3589039,3.47,71.64,6,2,CNCCN(C)Cc1c[nH]nc1-c1ccc(O[C@H]2C[C@H](OCCC3CCOCC3)C2)cc1,411.8700000000001,6.651695136951839
CHEMBL389946,3.12,128.28,5,3,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2CCOC[C@H]2C(=O)N2CCC(CC(=O)O)CC2)cc1,247.30199999999996,8.356547323513812
CHEMBL1688861,5.26,106.34,5,3,CC(C)(N)c1cc(C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1,156.269,8.67778070526608
CHEMBL91485,5.10,84.86,4,2,COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1,448.48800000000006,9.886056647693163
CHEMBL2381342,4.38,64.68,4,2,CN(C)Cc1cccc(N/C(=C2\C(=O)Nc3cc(C(=O)N(C)C)ccc32)c2ccccc2)c1,203.66899999999998,7.229147988357855
CHEMBL242004,7.04,41.57,3,1,Cc1ccc(NC(=O)C(C)C)cc1C1CCN(Cc2ccc(Oc3ccc(F)c(F)c3)cc2)CC1,339.34700000000004,6.638272163982407
CHEMBL473186,4.14,51.80,3,1,CC(C)c1cc(-c2ccc(F)c3ccccc23)nc(N)n1,214.25,7.721246399047171
CHEMBL233611,3.58,44.81,4,1,CCN(CC)Cc1ccc(C(=O)N(CCc2ccccc2OC)[C@@H]2CCNC2)cc1,351.4270000000001,6.769551078621726
CHEMBL3769507,4.26,92.02,6,2,CCn1cc(-c2cccc(C(F)(F)F)c2)c2sc(C(=N)NC3CCS(=O)(=O)CC3)cc2c1=O,416.64600000000024,6.799998134593398
CHEMBL592652,4.09,93.73,7,2,COC(=O)c1sccc1S(=O)(=O)Nc1ccc(Nc2ccccc2)cc1OC,297.85499999999996,5.0
CHEMBL464552,3.40,127.51,8,4,CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12,356.47400000000005,8.744727494896694
